id,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,nm0230361,Frank Doelger,,,"producer,director,writer","tt0985040,tt0139780,tt0944947,tt0202179"
1,nm0000293,Sean Bean,1959,,"actor,producer,animation_department","tt1181791,tt0944947,tt0120737,tt0167261"
2,nm0004692,Mark Addy,1964,,"actor,soundtrack","tt0183790,tt0944947,tt0119164,tt0955308"
3,nm0182666,Nikolaj Coster-Waldau,1970,,"actor,producer,writer","tt0110631,tt1483013,tt0944947,tt2404233"
4,nm0265610,Michelle Fairley,1963,,actress,"tt2431286,tt0944947,tt1390411,tt11188010"
5,nm0887700,Timothy Van Patten,1959,,"director,actor,producer","tt0083739,tt0979432,tt0374463,tt0141842"
6,nm1125275,David Benioff,1970,,"producer,writer,director","tt1025100,tt0944947,tt0419887,tt0307901"
7,nm1888967,D.B. Weiss,1971,,"writer,producer,director","tt11547156,tt12141112,tt3677548,tt0944947"
8,nm0552333,George R.R. Martin,1948,,"writer,producer,miscellaneous","tt0944947,tt11198330,tt0088634,tt0092319"
9,nm0122251,Jo Burn,,,"miscellaneous,production_manager,producer","tt1596342,tt4530422,tt5697572,tt2798920"
10,nm0400240,Mark Huffam,,,"producer,production_manager,assistant_director","tt11214590,tt3659388,tt0120815,tt11138512"
11,nm1047532,Brian Kirk,1968,,"director,producer","tt0944947,tt1474684,tt8688634,tt1949720"
12,nm2643685,Bryan Cogman,1979,,"producer,miscellaneous,writer","tt0944947,tt4872762,tt2207542"
13,nm0372176,Lena Headey,1973,,"actress,producer,soundtrack","tt0944947,tt1374989,tt0416449,tt1343727"
14,nm0590889,Daniel Minahan,,,"director,producer,writer","tt0944947,tt2788432,tt1856010,tt0251031"
15,nm0260870,Jane Espenson,1964,,"producer,writer,miscellaneous","tt0118276,tt1338724,tt2056091,tt0944947"
16,nm3592338,Emilia Clarke,1986,,"actress,soundtrack","tt2674426,tt3778644,tt0944947,tt1340138"
17,nm0851930,Alan Taylor,1965,,"director,producer,writer","tt0944947,tt0282768,tt1981115,tt1340138"
18,nm1014697,Ramin Djawadi,1974,,"composer,soundtrack,music_department","tt0944947,tt0475784,tt0371746,tt1663662"
19,nm0227759,Peter Dinklage,1969,,"actor,producer,soundtrack","tt0944947,tt1877832,tt0340377,tt5027774"
20,nm0146529,Bernadette Caulfield,,,"producer,production_manager,miscellaneous","tt12141112,tt0944947,tt0421030,tt0106179"
21,nm0318821,Aidan Gillen,1968,,"actor,writer,producer","tt4500922,tt4046784,tt1345836,tt0944947"
22,nm0002399,Alik Sakharov,1959,,"cinematographer,director,producer","tt1856010,tt5071412,tt0141842,tt0944947"
23,nm0007008,David Petrarca,,,"director,producer","tt0421030,tt0844441,tt0944947,tt5743796"
24,nm0961827,Vanessa Taylor,,,"producer,writer,miscellaneous","tt0944947,tt1840309,tt6772802,tt5580390"
25,nm0638354,David Nutter,1960,,"director,producer,soundtrack","tt0112173,tt0374463,tt0944947,tt3107288"
26,nm0001097,Charles Dance,1946,,"actor,director,writer","tt0944947,tt0107362,tt2084970,tt0280707"
27,nm0192377,Liam Cunningham,1961,,"actor,director,producer","tt0944947,tt0800320,tt0460989,tt0986233"
28,nm0551076,Neil Marshall,1970,,"producer,director,writer","tt0483607,tt9182964,tt0280609,tt0435625"
29,nm0817770,Greg Spence,,,"producer,production_manager,editorial_department","tt0460829,tt0944947,tt0411951,tt0416044"
30,nm3229685,Kit Harington,1986,,"actor,writer,producer","tt9032400,tt1921064,tt0938330,tt0944947"
31,nm0628040,Christopher Newman,1955,,"assistant_director,producer,miscellaneous","tt0120915,tt0107943,tt0185906,tt0944947"
32,nm0336241,Alex Graves,,,"producer,director,writer","tt0200276,tt0112746,tt3595806,tt0944947"
33,nm0533713,Michelle MacLaren,1965,,"producer,director,production_manager","tt4998350,tt2953250,tt0944947,tt0903747"
34,nm0322513,Iain Glen,1961,,"actor,producer,soundtrack","tt6954652,tt0944947,tt6859806,tt10370380"
